customer_id,first_name,last_name,email,country,Total_spent,Country_rank,overall_rank
86,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,Thailand,148.67,2,49
309,CHRISTOPHER,GRECO,CHRISTOPHER.GRECO@sakilacustomer.org,Italy,147.69,2,50
204,ROSEMARY,SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,Turkey,147.65,2,51
103,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,Nigeria,146.69,1,52
479,ZACHARY,HITE,ZACHARY.HITE@sakilacustomer.org,"United States",146.69,3,52
348,ROGER,QUINTANILLA,ROGER.QUINTANILLA@sakilacustomer.org,Taiwan,146.64,2,54
87,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,Colombia,145.70,1,55
362,NICHOLAS,BARFIELD,NICHOLAS.BARFIELD@sakilacustomer.org,Brazil,145.68,2,56
172,BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,Turkey,145.67,3,57
436,TROY,QUIGLEY,TROY.QUIGLEY@sakilacustomer.org,Canada,144.70,2,58
277,OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,Nigeria,144.68,2,59
237,TANYA,GILBERT,TANYA.GILBERT@sakilacustomer.org,"South Korea",144.67,1,60
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,Sweden,144.66,1,61
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,Taiwan,144.62,3,62
337,JERRY,JORDON,JERRY.JORDON@sakilacustomer.org,Japan,143.71,1,63
363,ROY,WHITING,ROY.WHITING@sakilacustomer.org,Kenya,143.71,1,63
120,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,Colombia,143.68,2,65
289,VIOLET,RODRIQUEZ,VIOLET.RODRIQUEZ@sakilacustomer.org,"Hong Kong",142.70,1,66
347,RYAN,SALISBURY,RYAN.SALISBURY@sakilacustomer.org,Latvia,142.70,1,66
239,MINNIE,ROMERO,MINNIE.ROMERO@sakilacustomer.org,Indonesia,142.66,3,68
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,"Russian Federation",142.66,4,68
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,Brazil,141.71,3,70
472,GREG,ROBINS,GREG.ROBINS@sakilacustomer.org,Vietnam,141.70,2,71
78,LORI,WOOD,LORI.WOOD@sakilacustomer.org,India,141.69,6,72
533,JESSIE,MILAM,JESSIE.MILAM@sakilacustomer.org,China,141.67,5,73
84,SARA,PERRY,SARA.PERRY@sakilacustomer.org,Mexico,141.67,3,73
566,CASEY,MENA,CASEY.MENA@sakilacustomer.org,Turkey,141.66,4,75
198,ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,Nigeria,141.63,3,76
494,RAMON,CHOATE,RAMON.CHOATE@sakilacustomer.org,Ecuador,140.69,1,77
242,GLENDA,FRAZIER,GLENDA.FRAZIER@sakilacustomer.org,China,140.68,6,78
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,Japan,140.64,2,79
467,ALVIN,DELOACH,ALVIN.DELOACH@sakilacustomer.org,Mexico,139.71,4,80
146,JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,"United States",139.71,4,80
484,ROBERTO,VU,ROBERTO.VU@sakilacustomer.org,China,139.70,7,82
404,STANLEY,SCROGGINS,STANLEY.SCROGGINS@sakilacustomer.org,Japan,139.70,3,82
114,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,Germany,139.67,2,84
576,MORRIS,MCCARTER,MORRIS.MCCARTER@sakilacustomer.org,Taiwan,139.66,4,85
482,MAURICE,CRAWLEY,MAURICE.CRAWLEY@sakilacustomer.org,Mexico,138.71,5,86
349,JOE,GILLILAND,JOE.GILLILAND@sakilacustomer.org,Philippines,138.71,5,86
306,CHARLES,KOWALSKI,CHARLES.KOWALSKI@sakilacustomer.org,Malaysia,138.68,1,88
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,"United States",138.67,5,89
502,BRETT,CORNWELL,BRETT.CORNWELL@sakilacustomer.org,India,138.66,7,90
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,Nigeria,137.70,4,91
300,JOHN,FARNSWORTH,JOHN.FARNSWORTH@sakilacustomer.org,India,137.69,8,92
210,ELLA,OLIVER,ELLA.OLIVER@sakilacustomer.org,Yemen,137.69,2,92
102,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,Israel,137.67,1,94
207,GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,Greenland,137.66,1,95
200,JEANNE,LAWSON,JEANNE.LAWSON@sakilacustomer.org,Turkmenistan,136.73,1,96
380,RUSSELL,BRINSON,RUSSELL.BRINSON@sakilacustomer.org,Poland,136.64,1,97
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,Greece,135.74,1,98
285,MIRIAM,MCKINNEY,MIRIAM.MCKINNEY@sakilacustomer.org,Japan,135.74,4,98
558,JIMMIE,EGGLESTON,JIMMIE.EGGLESTON@sakilacustomer.org,Poland,135.72,2,100
448,MIGUEL,BETANCOURT,MIGUEL.BETANCOURT@sakilacustomer.org,Germany,135.71,3,101
334,RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,Azerbaijan,135.70,1,102
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,"French Polynesia",135.70,1,102
279,DIANNE,SHELTON,DIANNE.SHELTON@sakilacustomer.org,Iran,135.69,3,104
535,JAVIER,ELROD,JAVIER.ELROD@sakilacustomer.org,Chad,135.68,1,105
125,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,"South Africa",135.68,1,105
168,REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,China,135.66,8,107
591,KENT,ARSENAULT,KENT.ARSENAULT@sakilacustomer.org,Brazil,134.73,4,108
307,JOSEPH,JOY,JOSEPH.JOY@sakilacustomer.org,Brazil,134.70,5,109
89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,Argentina,134.68,1,110
569,DAVE,GARDINER,DAVE.GARDINER@sakilacustomer.org,China,134.68,9,110
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,India,134.68,9,110
520,MITCHELL,WESTMORELAND,MITCHELL.WESTMORELAND@sakilacustomer.org,Vietnam,134.68,3,110
438,BARRY,LOVELACE,BARRY.LOVELACE@sakilacustomer.org,Zambia,134.67,1,114
473,JORGE,OLIVARES,JORGE.OLIVARES@sakilacustomer.org,Indonesia,134.66,4,115
433,DON,BONE,DON.BONE@sakilacustomer.org,Mozambique,133.75,2,116
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,India,133.73,10,117
92,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,Brazil,133.72,6,118
504,NATHANIEL,ADAM,NATHANIEL.ADAM@sakilacustomer.org,"United States",133.72,6,118
265,JENNIE,TERRY,JENNIE.TERRY@sakilacustomer.org,"Czech Republic",133.71,1,120
179,DANA,HART,DANA.HART@sakilacustomer.org,"Russian Federation",133.71,5,120
112,ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,"United States",133.70,7,122
221,BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,Italy,132.72,3,123
316,STEVEN,CURLEY,STEVEN.CURLEY@sakilacustomer.org,India,132.71,11,124
560,JORDAN,ARCHULETA,JORDAN.ARCHULETA@sakilacustomer.org,Argentina,132.70,2,125
108,TRACY,COLE,TRACY.COLE@sakilacustomer.org,Mexico,132.70,6,125
319,RONALD,WEINER,RONALD.WEINER@sakilacustomer.org,Mexico,132.70,6,125
245,COURTNEY,DAY,COURTNEY.DAY@sakilacustomer.org,"South Korea",132.68,2,128
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,Turkey,131.73,5,129
299,JAMES,GANNON,JAMES.GANNON@sakilacustomer.org,Japan,131.70,5,130
314,GEORGE,LINTON,GEORGE.LINTON@sakilacustomer.org,Brazil,131.67,7,131
82,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,Ukraine,130.74,2,132
594,EDUARDO,HIATT,EDUARDO.HIATT@sakilacustomer.org,China,130.73,10,133
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,"Saudi Arabia",130.72,1,134
154,MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,China,130.70,11,135
342,HAROLD,MARTINO,HAROLD.MARTINO@sakilacustomer.org,Brazil,130.68,8,136
141,DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,Japan,130.68,6,136
589,TRACY,HERRMANN,TRACY.HERRMANN@sakilacustomer.org,Ecuador,129.72,2,138
497,GILBERT,SLEDGE,GILBERT.SLEDGE@sakilacustomer.org,"United Kingdom",129.72,1,138
584,SALVADOR,TEEL,SALVADOR.TEEL@sakilacustomer.org,Gambia,129.70,1,140
296,RAMONA,HALE,RAMONA.HALE@sakilacustomer.org,India,129.70,12,140
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,Philippines,129.70,6,140
269,CASSANDRA,WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,"United States",129.70,8,140
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,France,129.68,1,144
244,VIOLA,HANSON,VIOLA.HANSON@sakilacustomer.org,Philippines,129.68,7,144
354,JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,Brazil,129.64,9,146
434,EDDIE,TOMLIN,EDDIE.TOMLIN@sakilacustomer.org,Philippines,128.73,8,147
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,"United States",128.73,9,147
322,JASON,MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,Argentina,128.72,3,149
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,Japan,128.71,7,150
131,MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,Ukraine,128.70,3,151
297,SHERRI,RHODES,SHERRI.RHODES@sakilacustomer.org,India,128.67,13,152
451,JIM,REA,JIM.REA@sakilacustomer.org,Mexico,128.67,8,152
508,MILTON,HOWLAND,MILTON.HOWLAND@sakilacustomer.org,India,127.75,14,154
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,Chile,127.73,1,155
302,MICHAEL,SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,China,127.71,12,156
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,India,127.71,15,156
253,TERRY,CARLSON,TERRY.CARLSON@sakilacustomer.org,Japan,127.71,8,156
339,WALTER,PERRYMAN,WALTER.PERRYMAN@sakilacustomer.org,China,127.70,13,159
329,FRANK,WAGGONER,FRANK.WAGGONER@sakilacustomer.org,Bangladesh,127.68,2,160
128,MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,Poland,127.68,3,160
147,JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,Japan,127.66,9,162
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,Moldova,127.66,1,162
206,TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,Brazil,126.73,10,164
426,BRADLEY,MOTLEY,BRADLEY.MOTLEY@sakilacustomer.org,India,126.73,16,164
515,ANDRE,RAPP,ANDRE.RAPP@sakilacustomer.org,Chile,126.72,2,166
284,SONIA,GREGORY,SONIA.GREGORY@sakilacustomer.org,Nigeria,126.72,5,166
575,ISAAC,OGLESBY,ISAAC.OGLESBY@sakilacustomer.org,Mexico,126.71,9,168
565,JAIME,NETTLES,JAIME.NETTLES@sakilacustomer.org,Peru,126.71,1,168
107,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,Argentina,126.70,4,170
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,Philippines,126.69,9,171
122,THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,Peru,126.68,2,172
158,VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,"United States",126.68,10,172
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,"South Africa",125.76,2,174
389,ALAN,KAHN,ALAN.KAHN@sakilacustomer.org,China,124.74,14,175
491,RICK,MATTOX,RICK.MATTOX@sakilacustomer.org,Egypt,124.73,2,176
400,BRYAN,HARDISON,BRYAN.HARDISON@sakilacustomer.org,"United States",124.72,11,177
388,CRAIG,MORRELL,CRAIG.MORRELL@sakilacustomer.org,Philippines,124.70,10,178
230,JOY,GEORGE,JOY.GEORGE@sakilacustomer.org,Romania,124.67,1,179
129,CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,China,124.66,15,180
166,LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,Malawi,123.72,1,181
268,NINA,SOTO,NINA.SOTO@sakilacustomer.org,India,123.71,17,182
499,MARC,OUTLAW,MARC.OUTLAW@sakilacustomer.org,Italy,123.70,4,183
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,Taiwan,123.66,5,184
510,BEN,EASTER,BEN.EASTER@sakilacustomer.org,"Russian Federation",122.74,6,185
331,ERIC,ROBERT,ERIC.ROBERT@sakilacustomer.org,Argentina,122.73,5,186
276,BRANDY,GRAVES,BRANDY.GRAVES@sakilacustomer.org,"United States",122.72,12,187
163,CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,Japan,122.71,10,188
263,HILDA,HOPKINS,HILDA.HOPKINS@sakilacustomer.org,Philippines,122.71,11,188
260,CHRISTY,VARGAS,CHRISTY.VARGAS@sakilacustomer.org,China,122.69,16,190
406,NATHAN,RUNYON,NATHAN.RUNYON@sakilacustomer.org,"Virgin Islands, U.S.",122.68,1,191
241,HEIDI,LARSON,HEIDI.LARSON@sakilacustomer.org,China,122.66,17,192
571,JOHNNIE,CHISHOLM,JOHNNIE.CHISHOLM@sakilacustomer.org,Poland,121.76,4,193
149,VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,"United States",121.74,13,194
356,GERALD,FULTZ,GERALD.FULTZ@sakilacustomer.org,India,121.70,18,195
416,JEFFERY,PINSON,JEFFERY.PINSON@sakilacustomer.org,Pakistan,121.69,1,196
393,PHILIP,CAUSEY,PHILIP.CAUSEY@sakilacustomer.org,"Russian Federation",121.69,7,196
311,PAUL,TROUT,PAUL.TROUT@sakilacustomer.org,"Russian Federation",120.77,8,198
495,CHARLIE,BESS,CHARLIE.BESS@sakilacustomer.org,China,120.74,18,199
423,ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,Egypt,120.74,3,199
225,ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,India,120.74,19,199
105,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,Tuvalu,120.74,1,199
573,BYRON,BOX,BYRON.BOX@sakilacustomer.org,Kazakstan,120.71,1,203
251,VICKIE,BREWER,VICKIE.BREWER@sakilacustomer.org,Germany,120.69,4,204
170,BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,India,119.74,20,205
487,HECTOR,POINDEXTER,HECTOR.POINDEXTER@sakilacustomer.org,"Russian Federation",119.74,9,205
421,LEE,HAWKS,LEE.HAWKS@sakilacustomer.org,India,119.73,21,207
262,PATSY,DAVIDSON,PATSY.DAVIDSON@sakilacustomer.org,Ecuador,119.72,3,208
173,AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,Austria,119.71,1,209
336,JOSHUA,MARK,JOSHUA.MARK@sakilacustomer.org,India,119.70,22,210
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,Latvia,119.70,2,210
340,PATRICK,NEWSOM,PATRICK.NEWSOM@sakilacustomer.org,Vietnam,119.69,4,212
167,SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,India,119.68,23,213
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,Armenia,118.75,1,214
531,JAMIE,WAUGH,JAMIE.WAUGH@sakilacustomer.org,Japan,118.75,11,214
280,TRACEY,BARRETT,TRACEY.BARRETT@sakilacustomer.org,Nigeria,118.73,6,216
292,MISTY,LAMBERT,MISTY.LAMBERT@sakilacustomer.org,"United Arab Emirates",118.73,1,216
266,NORA,HERRERA,NORA.HERRERA@sakilacustomer.org,Austria,118.72,2,218
332,STEPHEN,QUALLS,STEPHEN.QUALLS@sakilacustomer.org,Bangladesh,118.72,3,218
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,"United Kingdom",118.72,2,218
529,ERIK,GUILLEN,ERIK.GUILLEN@sakilacustomer.org,India,118.71,24,221
442,LEROY,BUSTAMANTE,LEROY.BUSTAMANTE@sakilacustomer.org,China,118.68,19,222
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,Japan,118.68,12,222
583,MARSHALL,THORN,MARSHALL.THORN@sakilacustomer.org,"United Kingdom",117.77,3,224
585,PERRY,SWAFFORD,PERRY.SWAFFORD@sakilacustomer.org,Argentina,117.76,6,225
490,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Colombia,117.76,3,225
536,FERNANDO,CHURCHILL,FERNANDO.CHURCHILL@sakilacustomer.org,"South Korea",117.75,3,227
240,MARLENE,WELCH,MARLENE.WELCH@sakilacustomer.org,Japan,117.74,13,228
286,VELMA,LUCAS,VELMA.LUCAS@sakilacustomer.org,Nigeria,117.73,7,229
577,CLIFTON,MALCOLM,CLIFTON.MALCOLM@sakilacustomer.org,Taiwan,117.73,6,229
126,ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,Brazil,117.72,11,231
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,"United States",117.72,14,231
538,TED,BREAUX,TED.BREAUX@sakilacustomer.org,China,117.71,20,233
386,TODD,TAN,TODD.TAN@sakilacustomer.org,Ukraine,117.71,4,233
595,TERRENCE,GUNDERSON,TERRENCE.GUNDERSON@sakilacustomer.org,China,117.70,21,235
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,Thailand,117.70,3,235
321,KEVIN,SCHULER,KEVIN.SCHULER@sakilacustomer.org,Nepal,116.78,1,237
432,EDWIN,BURK,EDWIN.BURK@sakilacustomer.org,"South Africa",116.77,3,238
408,MANUEL,MURRELL,MANUEL.MURRELL@sakilacustomer.org,"Sri Lanka",116.70,1,239
446,THEODORE,CULP,THEODORE.CULP@sakilacustomer.org,India,116.69,25,240
214,KRISTIN,JOHNSTON,KRISTIN.JOHNSTON@sakilacustomer.org,"United States",116.69,15,240
254,MAXINE,SILVA,MAXINE.SILVA@sakilacustomer.org,Brazil,116.68,12,242
304,DAVID,ROYAL,DAVID.ROYAL@sakilacustomer.org,Peru,115.74,3,243
512,CECIL,VINES,CECIL.VINES@sakilacustomer.org,"United Kingdom",115.74,4,243
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,Malaysia,115.73,2,245
500,REGINALD,KINDER,REGINALD.KINDER@sakilacustomer.org,Indonesia,115.72,5,246
485,CLYDE,TOBIAS,CLYDE.TOBIAS@sakilacustomer.org,China,115.71,22,247
588,MARION,OCAMPO,MARION.OCAMPO@sakilacustomer.org,China,115.71,22,247
287,BECKY,MILES,BECKY.MILES@sakilacustomer.org,India,115.71,26,247
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,Pakistan,115.71,2,247
481,HERMAN,DEVORE,HERMAN.DEVORE@sakilacustomer.org,Tanzania,115.71,1,247
444,MARCUS,HIDALGO,MARCUS.HIDALGO@sakilacustomer.org,Estonia,115.70,1,252
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,Japan,115.70,14,252
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,Pakistan,115.70,3,252
503,ANGEL,BARCLAY,ANGEL.BARCLAY@sakilacustomer.org,Japan,115.68,15,255
427,JESUS,MCCARTNEY,JESUS.MCCARTNEY@sakilacustomer.org,Brazil,114.76,13,256
343,DOUGLAS,GRAF,DOUGLAS.GRAF@sakilacustomer.org,Mexico,114.75,10,257
171,DOLORES,WAGNER,DOLORES.WAGNER@sakilacustomer.org,Malaysia,114.74,3,258
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,"Russian Federation",114.74,10,258
220,CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,Tanzania,114.73,2,260
317,EDWARD,BAUGH,EDWARD.BAUGH@sakilacustomer.org,"Faroe Islands",114.72,1,261
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,Liechtenstein,114.72,1,261
338,DENNIS,GILMAN,DENNIS.GILMAN@sakilacustomer.org,"South Africa",114.72,4,261
457,BILL,GAVIN,BILL.GAVIN@sakilacustomer.org,"United States",114.72,16,261
186,HOLLY,FOX,HOLLY.FOX@sakilacustomer.org,India,114.69,27,265
323,MATTHEW,MAHAN,MATTHEW.MAHAN@sakilacustomer.org,Mexico,114.69,11,265
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,Morocco,113.78,1,267
582,ANDY,VANHORN,ANDY.VANHORN@sakilacustomer.org,Mexico,113.75,12,268
486,GLEN,TALBERT,GLEN.TALBERT@sakilacustomer.org,Mexico,113.74,13,269
294,SHELLY,WATTS,SHELLY.WATTS@sakilacustomer.org,"United States",113.74,17,269
593,RENE,MCALISTER,RENE.MCALISTER@sakilacustomer.org,"United States",113.74,17,269
139,AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,Taiwan,113.73,7,272
447,CLIFFORD,BOWENS,CLIFFORD.BOWENS@sakilacustomer.org,"Russian Federation",113.71,11,273
113,CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,Venezuela,113.71,1,273
157,DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,"North Korea",113.69,1,275
91,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,Brunei,113.65,1,276
493,BRENT,HARKINS,BRENT.HARKINS@sakilacustomer.org,Turkey,112.77,6,277
540,TYRONE,ASHER,TYRONE.ASHER@sakilacustomer.org,Bulgaria,112.76,1,278
590,SETH,HANNON,SETH.HANNON@sakilacustomer.org,Bahrain,112.75,1,279
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,"United States",112.75,19,279
327,LARRY,THRASHER,LARRY.THRASHER@sakilacustomer.org,Turkey,112.74,7,281
407,DALE,RATCLIFF,DALE.RATCLIFF@sakilacustomer.org,"South Africa",112.73,5,282
441,MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,Algeria,112.72,2,283
161,GERALDINE,PERKINS,GERALDINE.PERKINS@sakilacustomer.org,Israel,112.70,2,284
256,MABEL,HOLLAND,MABEL.HOLLAND@sakilacustomer.org,Myanmar,112.70,1,284
453,CALVIN,MARTEL,CALVIN.MARTEL@sakilacustomer.org,Venezuela,111.77,2,286
528,CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,Angola,111.75,1,287
234,CLAUDIA,FULLER,CLAUDIA.FULLER@sakilacustomer.org,Kuwait,111.74,1,288
